supertype,archetype,archetype_id,arch_count,event_id,deck_rank,mean_rank,top_two,date_num,date
Aggro,Affinity,2,856,6299,1,3.360981,1,41625,12/17/2013
Aggro,Affinity,2,856,6271,1,3.360981,1,41622,12/14/2013
Aggro,Affinity,2,856,6226,1,3.360981,1,41618,12/10/2013
Aggro,Affinity,2,856,6205,1,3.360981,1,41614,12/6/2013
Aggro,Affinity,2,856,6153,1,3.360981,1,41607,11/29/2013
Aggro,Affinity,2,856,6142,1,3.360981,1,41604,11/26/2013
Aggro,Affinity,2,856,6104,1,3.360981,1,41602,11/24/2013
Aggro,Affinity,2,856,6124,1,3.360981,1,41601,11/23/2013
Aggro,Affinity,2,856,6096,1,3.360981,1,41600,11/22/2013
Aggro,Affinity,2,856,6067,1,3.360981,1,41597,11/19/2013
Aggro,Affinity,2,856,5992,1,3.360981,1,41590,11/12/2013
Aggro,Affinity,2,856,5967,1,3.360981,1,41582,11/4/2013
Aggro,Affinity,2,856,5942,1,3.360981,1,41579,11/1/2013
Aggro,Affinity,2,856,5928,1,3.360981,1,41576,10/29/2013
Aggro,Affinity,2,856,5913,1,3.360981,1,41574,10/27/2013
Aggro,Affinity,2,856,5913,1,3.360981,1,41574,10/27/2013
Aggro,Affinity,2,856,5833,1,3.360981,1,41563,10/16/2013
Aggro,Affinity,2,856,5829,1,3.360981,1,41562,10/15/2013
Aggro,Affinity,2,856,5798,1,3.360981,1,41560,10/13/2013
Aggro,Affinity,2,856,5801,1,3.360981,1,41558,10/11/2013
Aggro,Affinity,2,856,5741,1,3.360981,1,41553,10/6/2013
Aggro,Affinity,2,856,5762,1,3.360981,1,41548,10/1/2013
Aggro,Affinity,2,856,5710,1,3.360981,1,41547,9/30/2013
Aggro,Affinity,2,856,5721,1,3.360981,1,41545,9/28/2013
Aggro,Affinity,2,856,5730,1,3.360981,1,41545,9/28/2013
Aggro,Affinity,2,856,5689,1,3.360981,1,41542,9/25/2013
Aggro,Affinity,2,856,5580,1,3.360981,1,41519,9/2/2013
Aggro,Affinity,2,856,5459,1,3.360981,1,41499,8/13/2013
Aggro,Affinity,2,856,5387,1,3.360981,1,41490,8/4/2013
Aggro,Affinity,2,856,5370,1,3.360981,1,41483,7/28/2013
Aggro,Affinity,2,856,5418,1,3.360981,1,41483,7/28/2013
Aggro,Affinity,2,856,5297,1,3.360981,1,41471,7/16/2013
Aggro,Affinity,2,856,5325,1,3.360981,1,41471,7/16/2013
Aggro,Affinity,2,856,5298,1,3.360981,1,41462,7/7/2013
Aggro,Affinity,2,856,5234,1,3.360981,1,41459,7/4/2013
Aggro,Affinity,2,856,5205,1,3.360981,1,41454,6/29/2013
Aggro,Affinity,2,856,5051,1,3.360981,1,41413,5/19/2013
Aggro,Affinity,2,856,4970,1,3.360981,1,41412,5/18/2013
Aggro,Affinity,2,856,4468,1,3.360981,1,41332,2/27/2013
Aggro,Affinity,2,856,4214,1,3.360981,1,41291,1/17/2013
Aggro,Affinity,2,856,3981,1,3.360981,1,41268,12/25/2012
Aggro,Affinity,2,856,3979,1,3.360981,1,41265,12/22/2012
Aggro,Affinity,2,856,3970,1,3.360981,1,41259,12/16/2012
Aggro,Affinity,2,856,3917,1,3.360981,1,41247,12/4/2012
Aggro,Affinity,2,856,3847,1,3.360981,1,41237,11/24/2012
Aggro,Affinity,2,856,3827,1,3.360981,1,41230,11/17/2012
Aggro,Affinity,2,856,3746,1,3.360981,1,41222,11/9/2012
Aggro,Affinity,2,856,3720,1,3.360981,1,41217,11/4/2012
Aggro,Affinity,2,856,3745,1,3.360981,1,41216,11/3/2012
Aggro,Affinity,2,856,3745,1,3.360981,1,41216,11/3/2012
Aggro,Affinity,2,856,3708,1,3.360981,1,41210,10/28/2012
Aggro,Affinity,2,856,3707,1,3.360981,1,41209,10/27/2012
Aggro,Affinity,2,856,3499,1,3.360981,1,41186,10/4/2012
Aggro,Affinity,2,856,3447,1,3.360981,1,41183,10/1/2012
Aggro,Affinity,2,856,3414,1,3.360981,1,41177,9/25/2012
Aggro,Affinity,2,856,3354,1,3.360981,1,41173,9/21/2012
Aggro,Affinity,2,856,3326,1,3.360981,1,41170,9/18/2012
Aggro,Affinity,2,856,3289,1,3.360981,1,41169,9/17/2012
Aggro,Affinity,2,856,3222,1,3.360981,1,41161,9/9/2012
Aggro,Affinity,2,856,3089,1,3.360981,1,41148,8/27/2012
Aggro,Affinity,2,856,3042,1,3.360981,1,41145,8/24/2012
Aggro,Affinity,2,856,2827,1,3.360981,1,41141,8/20/2012
Aggro,Affinity,2,856,2862,1,3.360981,1,41140,8/19/2012
Aggro,Affinity,2,856,2865,1,3.360981,1,41140,8/19/2012
Aggro,Affinity,2,856,2861,1,3.360981,1,41138,8/17/2012
Aggro,Affinity,2,856,2854,1,3.360981,1,41135,8/14/2012
Aggro,Affinity,2,856,2838,1,3.360981,1,41128,8/7/2012
Aggro,Affinity,2,856,2831,1,3.360981,1,41127,8/6/2012
Aggro,Affinity,2,856,2804,1,3.360981,1,41113,7/23/2012
Aggro,Affinity,2,856,2794,1,3.360981,1,41102,7/12/2012
Aggro,Affinity,2,856,2598,1,3.360981,1,40978,3/10/2012
Aggro,Affinity,2,856,2559,1,3.360981,1,40964,2/25/2012
Aggro,Affinity,2,856,2584,1,3.360981,1,40964,2/25/2012
Aggro,Affinity,2,856,2583,1,3.360981,1,40964,2/25/2012
Aggro,Affinity,2,856,2501,1,3.360981,1,40929,1/21/2012
Aggro,Affinity,2,856,2485,1,3.360981,1,40922,1/14/2012
Aggro,Affinity,2,856,2490,1,3.360981,1,40922,1/14/2012
Aggro,Affinity,2,856,2491,1,3.360981,1,40922,1/14/2012
Aggro,Affinity,2,856,2492,1,3.360981,1,40922,1/14/2012
Aggro,Affinity,2,856,2446,1,3.360981,1,40914,1/6/2012
Aggro,Affinity,2,856,2456,1,3.360981,1,40914,1/6/2012
Aggro,Affinity,2,856,2484,1,3.360981,1,40912,1/4/2012
Aggro,Affinity,2,856,2428,1,3.360981,1,40911,1/3/2012
Aggro,Affinity,2,856,2417,1,3.360981,1,40908,12/31/2011
Aggro,Affinity,2,856,2409,1,3.360981,1,40907,12/30/2011
Aggro,Affinity,2,856,2378,1,3.360981,1,40904,12/27/2011
Aggro,Affinity,2,856,2386,1,3.360981,1,40902,12/25/2011
Aggro,Affinity,2,856,2366,1,3.360981,1,40886,12/9/2011
Aggro,Affinity,2,856,2253,1,3.360981,1,40866,11/19/2011
Aggro,Affinity,2,856,2049,1,3.360981,1,40806,9/20/2011
Aggro,Affinity,2,856,1999,1,3.360981,1,40789,9/3/2011
Aggro,Affinity,2,856,1966,1,3.360981,1,40785,8/30/2011
Aggro,Affinity,2,856,1975,1,3.360981,1,40784,8/29/2011
Aggro,Affinity,2,856,1955,1,3.360981,1,40782,8/27/2011
Aggro,Affinity,2,856,1951,1,3.360981,1,40781,8/26/2011
Aggro,Affinity,2,856,1950,1,3.360981,1,40780,8/25/2011
Aggro,Affinity,2,856,1934,1,3.360981,1,40779,8/24/2011
Aggro,Affinity,2,856,9274,2,3.360981,1,42064,3/1/2015
Aggro,Affinity,2,856,9256,2,3.360981,1,42063,2/28/2015
Aggro,Affinity,2,856,9150,2,3.360981,1,42057,2/22/2015
Aggro,Affinity,2,856,9146,2,3.360981,1,42056,2/21/2015
Aggro,Affinity,2,856,9136,2,3.360981,1,42054,2/19/2015
Aggro,Affinity,2,856,9131,2,3.360981,1,42053,2/18/2015
Aggro,Affinity,2,856,8995,2,3.360981,1,42029,1/25/2015
Aggro,Affinity,2,856,8998,2,3.360981,1,42029,1/25/2015
Aggro,Affinity,2,856,8906,2,3.360981,1,42017,1/13/2015
Aggro,Affinity,2,856,8867,2,3.360981,1,42008,1/4/2015
Aggro,Affinity,2,856,8757,2,3.360981,1,41991,12/18/2014
Aggro,Affinity,2,856,8683,2,3.360981,1,41979,12/6/2014
Aggro,Affinity,2,856,8473,2,3.360981,1,41954,11/11/2014
Aggro,Affinity,2,856,8368,2,3.360981,1,41934,10/22/2014
Aggro,Affinity,2,856,8126,2,3.360981,1,41888,9/6/2014
Aggro,Affinity,2,856,8053,2,3.360981,1,41875,8/24/2014
Aggro,Affinity,2,856,8075,2,3.360981,1,41874,8/23/2014
Aggro,Affinity,2,856,8111,2,3.360981,1,41868,8/17/2014
Aggro,Affinity,2,856,8018,2,3.360981,1,41854,8/3/2014
Aggro,Affinity,2,856,7868,2,3.360981,1,41842,7/22/2014
Aggro,Affinity,2,856,7865,2,3.360981,1,41841,7/21/2014
Aggro,Affinity,2,856,7869,2,3.360981,1,41841,7/21/2014
Aggro,Affinity,2,856,7831,2,3.360981,1,41839,7/19/2014
Aggro,Affinity,2,856,7760,2,3.360981,1,41827,7/7/2014
Aggro,Affinity,2,856,7762,2,3.360981,1,41826,7/6/2014
Aggro,Affinity,2,856,7702,2,3.360981,1,41820,6/30/2014
Aggro,Affinity,2,856,7772,2,3.360981,1,41818,6/28/2014
Aggro,Affinity,2,856,7891,2,3.360981,1,41818,6/28/2014
Aggro,Affinity,2,856,7704,2,3.360981,1,41813,6/23/2014
Aggro,Affinity,2,856,7552,2,3.360981,1,41800,6/10/2014
Aggro,Affinity,2,856,7705,2,3.360981,1,41798,6/8/2014
Aggro,Affinity,2,856,7529,2,3.360981,1,41796,6/6/2014
Aggro,Affinity,2,856,7482,2,3.360981,1,41791,6/1/2014
Aggro,Affinity,2,856,7489,2,3.360981,1,41791,6/1/2014
Aggro,Affinity,2,856,7412,2,3.360981,1,41785,5/26/2014
Aggro,Affinity,2,856,7320,2,3.360981,1,41771,5/12/2014
Aggro,Affinity,2,856,7319,2,3.360981,1,41770,5/11/2014
Aggro,Affinity,2,856,7259,2,3.360981,1,41762,5/3/2014
Aggro,Affinity,2,856,7250,2,3.360981,1,41761,5/2/2014
Aggro,Affinity,2,856,7187,2,3.360981,1,41750,4/21/2014
Aggro,Affinity,2,856,7159,2,3.360981,1,41745,4/16/2014
Aggro,Affinity,2,856,7268,2,3.360981,1,41742,4/13/2014
Aggro,Affinity,2,856,7021,2,3.360981,1,41729,3/31/2014
Aggro,Affinity,2,856,6963,2,3.360981,1,41722,3/24/2014
Aggro,Affinity,2,856,6930,2,3.360981,1,41721,3/23/2014
Aggro,Affinity,2,856,6926,2,3.360981,1,41720,3/22/2014
Aggro,Affinity,2,856,6901,2,3.360981,1,41714,3/16/2014
Aggro,Affinity,2,856,6831,2,3.360981,1,41709,3/11/2014
Aggro,Affinity,2,856,6813,2,3.360981,1,41707,3/9/2014
Aggro,Affinity,2,856,6979,2,3.360981,1,41706,3/8/2014
